,age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income,flag
0,"(51.0, 54.0)","{'Local-gov' ,'Private' ,'Self-emp-not-inc'}","(1.0, 13.0)",{'Separated'},"{'Exec-managerial' ,'Machine-op-inspct' ,'Other-service' ,'Prof-specialty'}",{'Unmarried'},{'Black'},{'Female'},"(20.0, 60.0)","{'?' ,'United-States'}",{'<=50K'},ap88EwtTpz/dKW2amiqZ2Sz6BJRRxReMpzpZ9tFRFWwVrAe+RIeGyRrqOndF/uH2KDrM/cnbyBzpqKQxsGxMwemiqCNGAuk7BAEsiKiGIxYxjqIFhZAGDeHf+rQrEnrdaQ+ziYgg7abyAQdO3c6vrxphJ8LrU0wTllFiV8JYCLg=
312,"(51.0, 54.0)","{'Local-gov' ,'Private' ,'Self-emp-not-inc'}","(1.0, 13.0)",{'Separated'},"{'Exec-managerial' ,'Machine-op-inspct' ,'Other-service' ,'Prof-specialty'}",{'Unmarried'},{'Black'},{'Female'},"(20.0, 60.0)","{'?' ,'United-States'}",{'<=50K'},YpLs0B8Ih2/S0pD1UIt/vJl/bC9BZcnbdnFYhi2jT2bNULWosQPYz9eXB7DfYtiHHXG5H2NVsx2iGSygdctC2LK+qCPQFR954Ll1Jr5AodLh+PbQEYtvyYOEWvVKUYdLDk57/jHyylH+aeQ1YRNxUbyUD4pUwKLZCEVrS3z9/G8=
440,"(51.0, 54.0)","{'Local-gov' ,'Private' ,'Self-emp-not-inc'}","(1.0, 13.0)",{'Separated'},"{'Exec-managerial' ,'Machine-op-inspct' ,'Other-service' ,'Prof-specialty'}",{'Unmarried'},{'Black'},{'Female'},"(20.0, 60.0)","{'?' ,'United-States'}",{'<=50K'},Y9lxcaZjC9a++EriyFoplRe5VJjz/ZlANAWCB+ca2nvQT7baaZzAuTgw34/7gU37/eNm9TjnYH4D87AqPfMbRuPHoNn/5cb0gHf2Xs/8OQjP9Si3kuY+ipTh/URtvM9VK/ga5PAMD9/+1sGvuxJuymf44bok4275/Jt4Ar3YHoo=
1149,"(51.0, 54.0)","{'Local-gov' ,'Private' ,'Self-emp-not-inc'}","(1.0, 13.0)",{'Separated'},"{'Exec-managerial' ,'Machine-op-inspct' ,'Other-service' ,'Prof-specialty'}",{'Unmarried'},{'Black'},{'Female'},"(20.0, 60.0)","{'?' ,'United-States'}",{'>50K'},YHMmDhcspZXkq/NZz3iEJGmgJoDXsPK8xUgWQrAY2mG7Pac9U5TK3zK5j69fXAhASqgPwdUgEx/1u4dqNYtnRWLyNUFJ7XqpGtaqH0HEUCRLRKnrsHoJuj22smppsmgxfOLzu0q0FbwBcERtgWmMfeNV95Y4HTnVFCOW8SDH+Bg=
1150,"(51.0, 54.0)","{'Local-gov' ,'Private' ,'Self-emp-not-inc'}","(1.0, 13.0)",{'Separated'},"{'Exec-managerial' ,'Machine-op-inspct' ,'Other-service' ,'Prof-specialty'}",{'Unmarried'},{'Black'},{'Female'},"(20.0, 60.0)","{'?' ,'United-States'}",{'<=50K'},DaJTtlwehPllLkYH2rI9y1H9dA2IdPwd5CpkWxk83fC1yc0BRkW/nYyZjrdzGdMBEmSq6Sr9acsQdD3iIpZQ9xV4j+y6QK6BDIjRctVFWPkMBytfAmY2ausKn7ri7cuTnLnbnUXdlDEqPGbPhk1TaOEXbB92D3qxcWlG5U7bJYo=
1602,"(51.0, 54.0)","{'Local-gov' ,'Private' ,'Self-emp-not-inc'}","(1.0, 13.0)",{'Separated'},"{'Exec-managerial' ,'Machine-op-inspct' ,'Other-service' ,'Prof-specialty'}",{'Unmarried'},{'Black'},{'Female'},"(20.0, 60.0)","{'?' ,'United-States'}",{'>50K'},qF6SIuO8m2Ji8qrQbUaHuMlrdXfxZRqCobrt2i8V8dkQhyO86A9DUEDrICUfDuMw3al2yCbLM84W/8EClPFOWhkSuIfoOWo3TbXbjbpUAcQGVQLNJMQdawkXaVHGNvRA44PEOLdDZo0H8gMLcub3vB7PfrfgdgdgJMe+mhYyx+8=
121,"(57.0, 59.0)","{'Local-gov' ,'Private' ,'Self-emp-inc'}","(6.0, 12.0)",{'Separated'},"{'Adm-clerical' ,'Priv-house-serv' ,'Protective-serv' ,'Sales'}",{'Unmarried'},{'Black'},{'Female'},"(16.0, 40.0)",{'United-States'},{'<=50K'},BX9IrH4KC/gzqUU+ohm1FYp7XpC652+uo7WQoJd/HWFlQLqYYgtcQoiS7kDELFZEib9TJWDlwzbeCHvecEFar+YW9aUDGM62HLZ8D9q3rjBHBRteZ+Rz7PbrzkM83KqNiIc/R3b27va2HwQy1r/6Zgja6owsYA3rhSeTdYwhAmw=
191,"(57.0, 59.0)","{'Local-gov' ,'Private' ,'Self-emp-inc'}","(6.0, 12.0)",{'Separated'},"{'Adm-clerical' ,'Priv-house-serv' ,'Protective-serv' ,'Sales'}",{'Unmarried'},{'Black'},{'Female'},"(16.0, 40.0)",{'United-States'},{'<=50K'},parRuglYlh8Ol8c4GMEvdJeEJKImxXSMc2UhJFPfdwzLpBr90eYaV/GUupcnOnsfyJTrFXaIeYHRWAdjm8++t4/inEbivjDhAiptaBOPNhx/xHUCp5h+qv+NJsoeB+jx2rMlyQYqjJ/wTklQEgNfPbTpL+0URM6Q6yGKTQw73gk=
612,"(57.0, 59.0)","{'Local-gov' ,'Private' ,'Self-emp-inc'}","(6.0, 12.0)",{'Separated'},"{'Adm-clerical' ,'Priv-house-serv' ,'Protective-serv' ,'Sales'}",{'Unmarried'},{'Black'},{'Female'},"(16.0, 40.0)",{'United-States'},{'<=50K'},gYloutFFKEZ6m+vkJ5sKxs67vozFPX9PdePE5vqHwwYCG0QS7xwUcCeAliJetoZM+pqP0KUIQgekR9cuwtnT4AA5pr8g86oBUrFCFKpSCkst/+jIQuJas9ijRwwHkQy9aaNIQ3KH9Pz0RWCZqCtGWVFPgHXCIrtHefXV0bkDSTo=
795,"(57.0, 59.0)","{'Local-gov' ,'Private' ,'Self-emp-inc'}","(6.0, 12.0)",{'Separated'},"{'Adm-clerical' ,'Priv-house-serv' ,'Protective-serv' ,'Sales'}",{'Unmarried'},{'Black'},{'Female'},"(16.0, 40.0)",{'United-States'},{'<=50K'},n3czj/eIOx5KeVBMWsMSZEmVolyEGNlenabtsgyCRrlhmUG7BrB5qnqvK+AZor66hRovdvyBncq549ian6kCmXSlJwwWRk2eufafsiqH35EKz2YORiNV0zA9KsqKMpkCovdfNdctki6Pi+0ax0vTVVuty00NzsmFoioQh+UU458=
