,age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
4,52.0,Private,2.0,Divorced,Other-service,Not-in-family,White,Female,40.0,Mexico,>50K
47,56.0,Private,9.0,Separated,Other-service,Not-in-family,Black,Female,25.0,United-States,<=50K
60,64.0,Private,4.0,Widowed,Other-service,Not-in-family,White,Female,39.0,Mexico,<=50K
61,52.0,Private,9.0,Divorced,Adm-clerical,Unmarried,Black,Female,61.0,United-States,<=50K
70,80.0,Private,9.0,Widowed,Adm-clerical,Not-in-family,White,Female,20.0,United-States,<=50K
73,56.0,Local-gov,6.0,Never-married,Adm-clerical,Not-in-family,White,Female,38.0,United-States,<=50K
75,50.0,?,13.0,Married-spouse-absent,?,Other-relative,Asian-Pac-Islander,Female,29.0,Philippines,>50K
78,57.0,Self-emp-not-inc,9.0,Divorced,Other-service,Not-in-family,White,Female,40.0,United-States,<=50K
108,67.0,State-gov,9.0,Divorced,Adm-clerical,Other-relative,White,Female,30.0,United-States,<=50K
116,67.0,Private,9.0,Divorced,Exec-managerial,Other-relative,White,Female,36.0,United-States,<=50K
118,56.0,Private,9.0,Widowed,Adm-clerical,Unmarried,White,Female,61.0,United-States,<=50K
124,61.0,?,9.0,Divorced,?,Not-in-family,White,Female,20.0,United-States,<=50K
133,59.0,Private,9.0,Divorced,Sales,Unmarried,White,Female,29.0,United-States,<=50K
140,59.0,Private,6.0,Divorced,Adm-clerical,Unmarried,White,Female,39.0,United-States,<=50K
145,58.0,Private,14.0,Divorced,Adm-clerical,Not-in-family,White,Female,26.0,United-States,<=50K
160,66.0,?,4.0,Widowed,?,Unmarried,White,Female,3.0,United-States,<=50K
170,64.0,Private,14.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,22.0,United-States,>50K
173,58.0,Local-gov,14.0,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,40.0,?,>50K
191,51.0,Private,9.0,Divorced,Exec-managerial,Not-in-family,White,Female,60.0,United-States,<=50K
193,74.0,?,10.0,Widowed,?,Not-in-family,White,Female,4.0,United-States,<=50K
200,51.0,Private,14.0,Divorced,Prof-specialty,Not-in-family,White,Female,41.0,United-States,>50K
201,73.0,?,9.0,Widowed,?,Unmarried,White,Female,4.0,United-States,<=50K
211,64.0,Federal-gov,9.0,Widowed,Adm-clerical,Not-in-family,White,Female,40.0,United-States,<=50K
221,71.0,State-gov,14.0,Widowed,Prof-specialty,Unmarried,White,Female,37.0,United-States,<=50K
230,52.0,Private,10.0,Separated,Exec-managerial,Other-relative,White,Female,51.0,United-States,<=50K
276,69.0,Private,14.0,Divorced,Tech-support,Not-in-family,White,Female,40.0,United-States,>50K
285,50.0,Private,5.0,Divorced,Sales,Not-in-family,Other,Female,53.0,Dominican-Republic,<=50K
324,72.0,Private,9.0,Widowed,Adm-clerical,Other-relative,White,Female,7.0,United-States,<=50K
336,50.0,Self-emp-not-inc,11.0,Never-married,Prof-specialty,Not-in-family,White,Female,37.0,Mexico,<=50K
350,55.0,Local-gov,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,36.0,United-States,<=50K
365,67.0,Private,13.0,Never-married,Sales,Other-relative,White,Female,30.0,United-States,<=50K
405,51.0,Private,11.0,Married-civ-spouse,Exec-managerial,Own-child,White,Female,60.0,United-States,<=50K
427,59.0,?,9.0,Widowed,?,Unmarried,Black,Female,54.0,United-States,<=50K
465,57.0,Private,9.0,Separated,Adm-clerical,Unmarried,White,Female,61.0,United-States,<=50K
508,58.0,Private,11.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,37.0,United-States,<=50K
525,51.0,Private,9.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,41.0,?,>50K
529,54.0,Private,10.0,Divorced,Sales,Unmarried,White,Female,36.0,United-States,<=50K
530,64.0,Self-emp-not-inc,11.0,Married-civ-spouse,Exec-managerial,Wife,Asian-Pac-Islander,Female,51.0,Thailand,<=50K
542,72.0,Private,11.0,Widowed,Adm-clerical,Not-in-family,White,Female,18.0,United-States,<=50K
549,56.0,Self-emp-inc,14.0,Divorced,Exec-managerial,Unmarried,White,Female,33.0,United-States,<=50K
