,age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
3,54.0,State-gov,10.0,Never-married,Prof-specialty,Own-child,White,Female,40.0,United-States,<=50K
27,74.0,?,15.0,Widowed,?,Not-in-family,White,Female,6.0,Mexico,<=50K
43,62.0,Private,11.0,Divorced,Adm-clerical,Unmarried,Black,Female,19.0,United-States,<=50K
69,55.0,State-gov,7.0,Divorced,Other-service,Not-in-family,Black,Female,35.0,United-States,<=50K
75,61.0,?,9.0,Divorced,?,Other-relative,Black,Female,39.0,United-States,<=50K
83,51.0,Private,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,22.0,United-States,<=50K
88,68.0,Federal-gov,13.0,Widowed,Prof-specialty,Unmarried,White,Female,36.0,United-States,<=50K
106,64.0,Private,9.0,Separated,Other-service,Not-in-family,White,Female,11.0,United-States,<=50K
152,54.0,Private,9.0,Married-civ-spouse,Craft-repair,Wife,White,Female,42.0,United-States,<=50K
179,64.0,Self-emp-not-inc,3.0,Divorced,Sales,Unmarried,Asian-Pac-Islander,Female,4.0,Vietnam,<=50K
198,56.0,?,9.0,Married-civ-spouse,?,Wife,Black,Female,54.0,United-States,<=50K
200,62.0,Private,10.0,Widowed,Adm-clerical,Unmarried,White,Female,36.0,United-States,<=50K
221,52.0,Private,9.0,Divorced,Adm-clerical,Unmarried,White,Female,37.0,United-States,<=50K
241,57.0,Private,9.0,Widowed,Other-service,Not-in-family,Black,Female,33.0,United-States,<=50K
260,71.0,Private,9.0,Widowed,Sales,Not-in-family,White,Female,31.0,United-States,<=50K
266,54.0,Private,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,37.0,United-States,<=50K
295,66.0,?,11.0,Widowed,?,Unmarried,White,Female,34.0,United-States,<=50K
300,90.0,Local-gov,12.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,20.0,United-States,>50K
314,59.0,Private,15.0,Divorced,Prof-specialty,Not-in-family,White,Female,37.0,United-States,>50K
324,50.0,Private,10.0,Widowed,Sales,Own-child,White,Female,21.0,United-States,<=50K
344,55.0,Federal-gov,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,29.0,United-States,<=50K
349,66.0,Private,2.0,Widowed,Other-service,Not-in-family,White,Female,5.0,El-Salvador,<=50K
352,89.0,?,9.0,Widowed,?,Unmarried,White,Female,4.0,United-States,<=50K
361,54.0,Private,7.0,Divorced,Adm-clerical,Unmarried,White,Female,40.0,United-States,<=50K
379,52.0,Private,9.0,Married-civ-spouse,Craft-repair,Wife,White,Female,43.0,United-States,<=50K
428,55.0,Self-emp-inc,10.0,Married-civ-spouse,Sales,Wife,White,Female,31.0,United-States,>50K
435,58.0,Local-gov,9.0,Divorced,Other-service,Not-in-family,White,Female,40.0,United-States,<=50K
447,63.0,Private,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,17.0,United-States,<=50K
484,64.0,Private,9.0,Never-married,Other-service,Not-in-family,Black,Female,35.0,United-States,<=50K
485,50.0,Private,9.0,Divorced,Sales,Not-in-family,White,Female,11.0,United-States,<=50K
499,58.0,Private,9.0,Divorced,Sales,Not-in-family,White,Female,39.0,United-States,<=50K
502,54.0,Private,9.0,Widowed,Machine-op-inspct,Not-in-family,White,Female,36.0,United-States,<=50K
512,57.0,Private,10.0,Divorced,Sales,Not-in-family,White,Female,32.0,United-States,<=50K
525,69.0,?,9.0,Never-married,?,Not-in-family,White,Female,36.0,United-States,<=50K
535,64.0,Private,6.0,Divorced,Sales,Unmarried,Black,Female,2.0,United-States,<=50K
538,65.0,Private,11.0,Widowed,Other-service,Unmarried,White,Female,13.0,United-States,<=50K
543,72.0,Private,10.0,Widowed,Priv-house-serv,Not-in-family,White,Female,12.0,United-States,<=50K
550,50.0,Federal-gov,13.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,38.0,United-States,<=50K
554,70.0,Private,4.0,Divorced,Machine-op-inspct,Not-in-family,White,Female,38.0,United-States,<=50K
560,53.0,Private,9.0,Married-civ-spouse,Craft-repair,Wife,White,Female,39.0,United-States,<=50K
575,62.0,Private,4.0,Widowed,Other-service,Unmarried,White,Female,23.0,United-States,<=50K
576,62.0,Self-emp-inc,10.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,54.0,United-States,<=50K
628,52.0,Private,14.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,40.0,United-States,>50K
630,53.0,Private,8.0,Divorced,Adm-clerical,Not-in-family,Black,Female,40.0,?,<=50K
639,54.0,Private,6.0,Divorced,Exec-managerial,Not-in-family,White,Female,37.0,United-States,<=50K
705,59.0,State-gov,9.0,Divorced,Tech-support,Unmarried,Black,Female,38.0,United-States,<=50K
706,55.0,Local-gov,10.0,Widowed,Adm-clerical,Not-in-family,White,Female,39.0,United-States,<=50K
708,51.0,Private,10.0,Married-civ-spouse,Exec-managerial,Wife,Black,Female,40.0,United-States,<=50K
724,52.0,Local-gov,14.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,58.0,United-States,>50K
749,60.0,Private,9.0,Separated,Other-service,Unmarried,White,Female,31.0,Columbia,<=50K
754,57.0,Private,9.0,Widowed,Exec-managerial,Own-child,White,Female,41.0,United-States,<=50K
762,58.0,Private,11.0,Never-married,Adm-clerical,Not-in-family,White,Female,42.0,United-States,<=50K
789,65.0,Private,5.0,Widowed,Sales,Unmarried,Black,Female,14.0,United-States,<=50K
809,63.0,Private,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,71.0,United-States,<=50K
824,65.0,Private,14.0,Widowed,Exec-managerial,Not-in-family,White,Female,34.0,United-States,>50K
827,74.0,Private,9.0,Separated,Other-service,Unmarried,White,Female,15.0,United-States,<=50K
875,56.0,Self-emp-not-inc,10.0,Widowed,Sales,Unmarried,White,Female,62.0,United-States,<=50K
921,87.0,?,9.0,Never-married,?,Own-child,White,Female,9.0,United-States,<=50K
925,59.0,Private,8.0,Divorced,Adm-clerical,Not-in-family,White,Female,37.0,United-States,<=50K
931,53.0,Private,11.0,Widowed,Sales,Not-in-family,Black,Female,36.0,United-States,<=50K
964,89.0,Private,6.0,Never-married,Exec-managerial,Own-child,White,Female,35.0,United-States,<=50K
965,62.0,Private,9.0,Divorced,Priv-house-serv,Unmarried,White,Female,98.0,United-States,<=50K
973,61.0,Private,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,40.0,United-States,<=50K
978,73.0,Private,2.0,Widowed,Priv-house-serv,Not-in-family,White,Female,12.0,Guatemala,<=50K
982,53.0,Private,14.0,Divorced,Exec-managerial,Unmarried,White,Female,62.0,?,<=50K
992,50.0,Private,11.0,Divorced,Adm-clerical,Unmarried,White,Female,39.0,?,<=50K
1054,79.0,Private,4.0,Widowed,Other-service,Unmarried,White,Female,21.0,Mexico,<=50K
1064,57.0,Private,13.0,Widowed,Prof-specialty,Other-relative,White,Female,34.0,United-States,<=50K
1069,57.0,Private,9.0,Widowed,Machine-op-inspct,Unmarried,White,Female,36.0,United-States,<=50K
1181,66.0,Federal-gov,9.0,Divorced,Adm-clerical,Unmarried,White,Female,19.0,United-States,<=50K
1269,51.0,Private,10.0,Widowed,Adm-clerical,Unmarried,White,Female,36.0,United-States,<=50K
1319,74.0,Private,6.0,Widowed,Other-service,Not-in-family,White,Female,32.0,United-States,<=50K
1330,51.0,Private,10.0,Divorced,Handlers-cleaners,Not-in-family,White,Female,35.0,Mexico,<=50K
1339,52.0,Federal-gov,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,33.0,United-States,<=50K
1344,54.0,State-gov,9.0,Separated,Craft-repair,Unmarried,White,Female,40.0,United-States,<=50K
1353,55.0,Federal-gov,15.0,Never-married,Prof-specialty,Not-in-family,White,Female,53.0,United-States,>50K
1371,61.0,Private,10.0,Divorced,Tech-support,Unmarried,White,Female,36.0,United-States,<=50K
1381,50.0,Private,9.0,Divorced,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,36.0,China,<=50K
1385,54.0,Private,9.0,Widowed,Other-service,Not-in-family,White,Female,22.0,United-States,<=50K
1407,75.0,?,2.0,Widowed,?,Not-in-family,Asian-Pac-Islander,Female,39.0,Philippines,<=50K
1411,53.0,Private,12.0,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Female,40.0,United-States,<=50K
1450,50.0,Private,10.0,Divorced,Sales,Not-in-family,White,Female,36.0,United-States,<=50K
1456,59.0,Self-emp-inc,10.0,Widowed,Sales,Not-in-family,White,Female,64.0,United-States,<=50K
1488,55.0,Private,14.0,Widowed,Sales,Not-in-family,White,Female,54.0,United-States,<=50K
1496,62.0,Private,9.0,Widowed,Adm-clerical,Unmarried,White,Female,26.0,United-States,<=50K
1498,73.0,Private,2.0,Widowed,Priv-house-serv,Not-in-family,Black,Female,13.0,United-States,<=50K
1512,50.0,Federal-gov,10.0,Divorced,Adm-clerical,Unmarried,White,Female,25.0,United-States,<=50K
1559,51.0,Private,9.0,Divorced,Other-service,Unmarried,White,Female,37.0,United-States,<=50K
1568,59.0,Private,9.0,Divorced,Exec-managerial,Not-in-family,White,Female,36.0,United-States,<=50K
1577,74.0,Private,9.0,Divorced,Other-service,Not-in-family,White,Female,16.0,United-States,<=50K
1579,58.0,Private,9.0,Never-married,Other-service,Not-in-family,White,Female,17.0,United-States,<=50K
1586,52.0,Private,15.0,Widowed,Prof-specialty,Own-child,White,Female,64.0,United-States,<=50K
1592,77.0,Local-gov,9.0,Widowed,Other-service,Not-in-family,White,Female,22.0,United-States,<=50K
1595,51.0,Self-emp-not-inc,13.0,Divorced,Prof-specialty,Unmarried,White,Female,37.0,United-States,<=50K
1612,61.0,Private,12.0,Never-married,Adm-clerical,Not-in-family,White,Female,44.0,United-States,<=50K
1620,57.0,Private,10.0,Never-married,Adm-clerical,Not-in-family,White,Female,38.0,United-States,<=50K
1641,56.0,Local-gov,9.0,Never-married,Prof-specialty,Not-in-family,White,Female,34.0,United-States,<=50K
1647,54.0,Local-gov,10.0,Divorced,Prof-specialty,Not-in-family,Black,Female,73.0,United-States,<=50K
1678,55.0,Self-emp-not-inc,11.0,Married-civ-spouse,Craft-repair,Wife,Black,Female,38.0,United-States,>50K
1703,69.0,?,14.0,Never-married,?,Other-relative,Asian-Pac-Islander,Female,26.0,Taiwan,<=50K
1720,53.0,State-gov,14.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,36.0,United-States,>50K
1727,57.0,Self-emp-not-inc,9.0,Married-civ-spouse,Craft-repair,Wife,White,Female,52.0,United-States,<=50K
1734,72.0,Private,9.0,Widowed,Adm-clerical,Not-in-family,White,Female,38.0,United-States,<=50K
1753,68.0,Private,15.0,Widowed,Prof-specialty,Not-in-family,White,Female,39.0,United-States,>50K
1764,63.0,Private,8.0,Divorced,Sales,Not-in-family,Black,Female,42.0,United-States,<=50K
1793,64.0,Federal-gov,10.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,35.0,United-States,<=50K
1803,51.0,Private,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,35.0,United-States,<=50K
1806,72.0,Private,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,16.0,United-States,<=50K
1807,61.0,Local-gov,9.0,Divorced,Tech-support,Own-child,Asian-Pac-Islander,Female,39.0,China,<=50K
1820,59.0,Local-gov,15.0,Divorced,Prof-specialty,Unmarried,White,Female,37.0,United-States,<=50K
1835,55.0,Self-emp-inc,9.0,Divorced,Sales,Not-in-family,White,Female,21.0,United-States,<=50K
1887,54.0,Private,10.0,Married-civ-spouse,Craft-repair,Wife,White,Female,39.0,United-States,<=50K
1911,57.0,Private,12.0,Divorced,Sales,Not-in-family,White,Female,51.0,United-States,<=50K
1915,55.0,Private,14.0,Never-married,Exec-managerial,Not-in-family,White,Female,52.0,United-States,<=50K
1970,54.0,Private,10.0,Divorced,Sales,Not-in-family,White,Female,36.0,United-States,<=50K
1994,75.0,?,13.0,Widowed,?,Not-in-family,White,Female,14.0,United-States,<=50K
1998,55.0,Self-emp-not-inc,13.0,Never-married,Prof-specialty,Other-relative,White,Female,36.0,England,<=50K
2015,60.0,Private,7.0,Divorced,Machine-op-inspct,Not-in-family,White,Female,27.0,United-States,<=50K
2027,52.0,Self-emp-inc,13.0,Divorced,Sales,Own-child,Black,Female,30.0,United-States,<=50K
2031,55.0,Private,11.0,Never-married,Other-service,Not-in-family,White,Female,30.0,United-States,<=50K
2099,73.0,State-gov,9.0,Divorced,Other-service,Not-in-family,White,Female,15.0,United-States,<=50K
2106,62.0,Private,11.0,Divorced,Priv-house-serv,Not-in-family,White,Female,16.0,United-States,<=50K
2126,59.0,Private,15.0,Widowed,Prof-specialty,Not-in-family,White,Female,18.0,United-States,<=50K
2190,53.0,Self-emp-inc,11.0,Married-civ-spouse,Sales,Wife,White,Female,54.0,United-States,<=50K
2214,51.0,Private,10.0,Divorced,Adm-clerical,Unmarried,White,Female,39.0,United-States,<=50K
2227,63.0,Private,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,37.0,United-States,<=50K
2252,53.0,Private,14.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,46.0,United-States,>50K
2260,64.0,Private,4.0,Widowed,Machine-op-inspct,Not-in-family,White,Female,37.0,United-States,<=50K
2264,60.0,State-gov,15.0,Married-spouse-absent,Prof-specialty,Unmarried,Black,Female,51.0,United-States,>50K
2265,56.0,Private,14.0,Divorced,Adm-clerical,Other-relative,White,Female,37.0,United-States,<=50K
2272,73.0,?,11.0,Widowed,?,Not-in-family,White,Female,26.0,United-States,<=50K
2275,61.0,Self-emp-not-inc,15.0,Divorced,Prof-specialty,Not-in-family,White,Female,41.0,United-States,<=50K
2285,82.0,State-gov,9.0,Widowed,Exec-managerial,Not-in-family,White,Female,16.0,United-States,<=50K
