,age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
3,53,Private,13,Divorced,Sales,Not-in-family,White,Female,43,United-States,>50K
5,51,Private,10,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,>50K
7,56,State-gov,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
9,52,Private,5,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,30,China,<=50K
25,56,Private,7,Separated,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
37,53,Private,6,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Female,40,Columbia,<=50K
48,54,Local-gov,9,Married-civ-spouse,Other-service,Wife,White,Female,35,United-States,<=50K
66,55,?,9,Divorced,?,Not-in-family,White,Female,40,England,<=50K
87,55,Private,9,Divorced,Sales,Not-in-family,White,Female,40,England,<=50K
135,64,?,4,Widowed,?,Not-in-family,White,Female,40,United-States,<=50K
159,55,Private,11,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K
164,78,?,9,Widowed,?,Not-in-family,White,Female,1,United-States,<=50K
168,66,Private,9,Never-married,Other-service,Other-relative,Black,Female,3,United-States,<=50K
179,55,Local-gov,11,Separated,Prof-specialty,Unmarried,Black,Female,35,United-States,<=50K
225,62,Private,10,Never-married,Craft-repair,Not-in-family,White,Female,39,United-States,>50K
260,69,State-gov,10,Widowed,Adm-clerical,Not-in-family,White,Female,38,United-States,<=50K
269,63,Private,10,Divorced,Sales,Not-in-family,White,Female,60,United-States,<=50K
340,62,?,10,Married-civ-spouse,?,Wife,White,Female,1,United-States,<=50K
348,58,Local-gov,12,Widowed,Adm-clerical,Not-in-family,Black,Female,40,United-States,<=50K
361,52,State-gov,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,England,<=50K
363,61,Private,4,Divorced,Other-service,Unmarried,White,Female,40,United-States,<=50K
404,60,Private,9,Widowed,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
406,78,?,14,Widowed,?,Not-in-family,White,Female,15,United-States,<=50K
437,64,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,35,United-States,<=50K
477,63,Private,9,Married-civ-spouse,Transport-moving,Wife,Asian-Pac-Islander,Female,20,United-States,<=50K
