,age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
33,56.0,Federal-gov,12.0,Widowed,Adm-clerical,Unmarried,White,Female,38.0,United-States,<=50K
34,52.0,Private,11.0,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,98.0,United-States,<=50K
60,60.0,Private,4.0,Married-spouse-absent,Machine-op-inspct,Not-in-family,White,Female,39.0,Poland,<=50K
69,62.0,Private,6.0,Divorced,Other-service,Unmarried,Black,Female,40.0,United-States,<=50K
72,52.0,Self-emp-inc,15.0,Never-married,Prof-specialty,Not-in-family,White,Female,37.0,United-States,>50K
78,53.0,Federal-gov,15.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,40.0,United-States,>50K
139,65.0,Private,7.0,Widowed,Adm-clerical,Not-in-family,White,Female,31.0,United-States,<=50K
144,69.0,Private,14.0,Widowed,Exec-managerial,Not-in-family,White,Female,20.0,United-States,<=50K
149,58.0,Private,11.0,Widowed,Tech-support,Unmarried,White,Female,36.0,United-States,>50K
152,57.0,Private,10.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,37.0,United-States,<=50K
161,51.0,Private,10.0,Married-civ-spouse,Craft-repair,Wife,White,Female,51.0,United-States,>50K
211,67.0,Private,13.0,Divorced,Adm-clerical,Not-in-family,White,Female,35.0,United-States,<=50K
233,57.0,Local-gov,15.0,Widowed,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,23.0,Philippines,<=50K
267,54.0,Private,6.0,Widowed,Other-service,Unmarried,White,Female,30.0,United-States,<=50K
297,55.0,Private,15.0,Divorced,Prof-specialty,Not-in-family,White,Female,37.0,United-States,>50K
320,62.0,Private,10.0,Widowed,Machine-op-inspct,Not-in-family,White,Female,36.0,United-States,<=50K
328,51.0,Private,10.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,69.0,United-States,<=50K
373,50.0,Local-gov,15.0,Separated,Adm-clerical,Unmarried,White,Female,42.0,United-States,<=50K
399,64.0,Private,9.0,Married-civ-spouse,Other-service,Wife,White,Female,37.0,United-States,>50K
404,74.0,?,9.0,Married-civ-spouse,?,Wife,White,Female,12.0,United-States,>50K
437,58.0,?,9.0,Divorced,?,Unmarried,White,Female,41.0,United-States,<=50K
472,52.0,Self-emp-inc,13.0,Divorced,Sales,Not-in-family,White,Female,26.0,United-States,<=50K
493,50.0,Federal-gov,9.0,Widowed,Adm-clerical,Not-in-family,White,Female,32.0,United-States,<=50K
501,51.0,Private,9.0,Widowed,Other-service,Unmarried,White,Female,35.0,United-States,<=50K
512,50.0,Private,13.0,Married-civ-spouse,Craft-repair,Wife,White,Female,41.0,United-States,>50K
527,68.0,Private,9.0,Widowed,Other-service,Unmarried,White,Female,29.0,United-States,<=50K
534,82.0,Private,14.0,Widowed,Sales,Not-in-family,White,Female,19.0,Canada,<=50K
548,70.0,?,9.0,Widowed,?,Not-in-family,White,Female,9.0,United-States,<=50K
550,50.0,Private,9.0,Never-married,Other-service,Not-in-family,White,Female,38.0,United-States,<=50K
562,51.0,Private,13.0,Divorced,Sales,Unmarried,White,Female,50.0,United-States,<=50K
601,68.0,?,13.0,Widowed,?,Not-in-family,White,Female,17.0,United-States,>50K
615,58.0,Private,10.0,Divorced,Other-service,Unmarried,White,Female,14.0,United-States,<=50K
619,50.0,Self-emp-not-inc,15.0,Married-spouse-absent,Prof-specialty,Not-in-family,White,Female,63.0,United-States,>50K
623,55.0,Private,8.0,Married-spouse-absent,Adm-clerical,Unmarried,White,Female,35.0,?,<=50K
632,51.0,Private,9.0,Never-married,Machine-op-inspct,Not-in-family,White,Female,49.0,United-States,<=50K
653,57.0,?,9.0,Divorced,?,Not-in-family,White,Female,36.0,United-States,>50K
666,61.0,Private,10.0,Divorced,Other-service,Not-in-family,White,Female,40.0,United-States,<=50K
678,57.0,Private,11.0,Never-married,Handlers-cleaners,Not-in-family,Black,Female,40.0,United-States,<=50K
682,66.0,?,3.0,Separated,?,Not-in-family,Asian-Pac-Islander,Female,80.0,United-States,<=50K
714,75.0,Private,10.0,Widowed,Prof-specialty,Unmarried,White,Female,60.0,United-States,<=50K
718,82.0,Private,14.0,Widowed,Sales,Unmarried,White,Female,53.0,United-States,<=50K
720,51.0,Private,11.0,Never-married,Exec-managerial,Not-in-family,White,Female,35.0,United-States,<=50K
725,69.0,?,10.0,Widowed,?,Not-in-family,White,Female,5.0,United-States,<=50K
728,50.0,Private,9.0,Divorced,Other-service,Other-relative,White,Female,18.0,United-States,<=50K
739,50.0,Private,10.0,Married-civ-spouse,Craft-repair,Wife,White,Female,42.0,United-States,<=50K
762,54.0,Private,5.0,Divorced,Other-service,Unmarried,White,Female,27.0,Mexico,<=50K
763,54.0,Self-emp-inc,9.0,Divorced,Exec-managerial,Not-in-family,White,Female,58.0,United-States,<=50K
764,50.0,Self-emp-inc,14.0,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,22.0,United-States,<=50K
775,59.0,Private,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,39.0,United-States,<=50K
798,52.0,Private,14.0,Divorced,Craft-repair,Not-in-family,White,Female,40.0,United-States,>50K
829,53.0,Local-gov,11.0,Married-spouse-absent,Other-service,Not-in-family,White,Female,23.0,United-States,<=50K
870,51.0,Private,9.0,Widowed,Craft-repair,Not-in-family,White,Female,36.0,United-States,<=50K
885,61.0,Private,9.0,Separated,Adm-clerical,Unmarried,White,Female,11.0,United-States,>50K
915,58.0,Self-emp-inc,9.0,Married-civ-spouse,Exec-managerial,Other-relative,White,Female,52.0,United-States,<=50K
936,51.0,Self-emp-inc,14.0,Married-spouse-absent,Exec-managerial,Unmarried,White,Female,40.0,United-States,>50K
955,55.0,Private,10.0,Divorced,Exec-managerial,Unmarried,White,Female,4.0,United-States,<=50K
967,51.0,State-gov,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,36.0,United-States,>50K
968,68.0,?,14.0,Widowed,?,Not-in-family,Black,Female,36.0,United-States,<=50K
972,66.0,?,9.0,Widowed,?,Not-in-family,White,Female,14.0,United-States,<=50K
994,50.0,Private,6.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,35.0,United-States,<=50K
1000,50.0,Local-gov,14.0,Never-married,Prof-specialty,Not-in-family,White,Female,38.0,United-States,<=50K
1029,53.0,Private,6.0,Divorced,Adm-clerical,Not-in-family,Black,Female,40.0,Jamaica,<=50K
1069,60.0,Private,12.0,Divorced,Prof-specialty,Own-child,White,Female,16.0,United-States,<=50K
1070,56.0,Private,11.0,Divorced,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,37.0,United-States,<=50K
1075,51.0,Private,14.0,Married-spouse-absent,Sales,Not-in-family,Black,Female,42.0,United-States,<=50K
1084,57.0,Self-emp-not-inc,15.0,Divorced,Prof-specialty,Unmarried,White,Female,70.0,United-States,>50K
1106,55.0,Private,4.0,Divorced,Other-service,Not-in-family,White,Female,36.0,Puerto-Rico,<=50K
1113,65.0,Private,7.0,Widowed,Adm-clerical,Not-in-family,White,Female,36.0,United-States,<=50K
1139,68.0,Private,9.0,Widowed,Other-service,Not-in-family,White,Female,32.0,United-States,<=50K
1153,55.0,Local-gov,10.0,Widowed,Adm-clerical,Unmarried,White,Female,39.0,United-States,<=50K
1167,54.0,Private,13.0,Never-married,Prof-specialty,Other-relative,White,Female,39.0,United-States,<=50K
1181,62.0,Private,11.0,Widowed,Other-service,Not-in-family,White,Female,24.0,United-States,<=50K
1191,51.0,Private,9.0,Divorced,Sales,Unmarried,White,Female,37.0,United-States,<=50K
1208,54.0,Private,9.0,Divorced,Craft-repair,Not-in-family,Black,Female,57.0,United-States,<=50K
1216,62.0,Private,10.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,9.0,United-States,<=50K
1222,51.0,Private,6.0,Divorced,Adm-clerical,Not-in-family,White,Female,38.0,United-States,<=50K
1229,68.0,Self-emp-not-inc,4.0,Widowed,Other-service,Not-in-family,White,Female,36.0,United-States,<=50K
1236,71.0,?,15.0,Widowed,?,Not-in-family,White,Female,5.0,United-States,>50K
