,age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
9,52.0,Private,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,39.0,United-States,<=50K
30,63.0,Private,9.0,Divorced,Other-service,Unmarried,White,Female,30.0,United-States,<=50K
45,64.0,Local-gov,4.0,Never-married,Adm-clerical,Not-in-family,White,Female,40.0,United-States,<=50K
59,66.0,?,9.0,Widowed,?,Not-in-family,White,Female,41.0,United-States,<=50K
61,59.0,Private,9.0,Divorced,Sales,Not-in-family,Black,Female,36.0,United-States,<=50K
80,53.0,Private,14.0,Never-married,Exec-managerial,Not-in-family,White,Female,37.0,United-States,<=50K
109,50.0,Private,14.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,53.0,United-States,>50K
113,52.0,Local-gov,13.0,Divorced,Prof-specialty,Not-in-family,White,Female,39.0,United-States,<=50K
167,54.0,Private,11.0,Divorced,Transport-moving,Not-in-family,White,Female,39.0,United-States,<=50K
170,56.0,Private,11.0,Widowed,Other-service,Not-in-family,White,Female,37.0,United-States,<=50K
181,52.0,Private,6.0,Widowed,Other-service,Unmarried,White,Female,33.0,United-States,<=50K
215,83.0,Private,6.0,Never-married,Exec-managerial,Not-in-family,White,Female,26.0,United-States,<=50K
242,50.0,Private,3.0,Widowed,Other-service,Unmarried,White,Female,38.0,Cuba,<=50K
275,50.0,Self-emp-inc,14.0,Divorced,Exec-managerial,Unmarried,White,Female,38.0,United-States,>50K
291,73.0,?,4.0,Widowed,?,Not-in-family,Other,Female,39.0,United-States,<=50K
293,50.0,Private,9.0,Married-civ-spouse,Craft-repair,Wife,White,Female,26.0,United-States,<=50K
301,61.0,Self-emp-not-inc,10.0,Married-civ-spouse,Farming-fishing,Wife,White,Female,73.0,United-States,<=50K
349,66.0,Self-emp-not-inc,13.0,Widowed,Sales,Not-in-family,White,Female,30.0,United-States,<=50K
371,65.0,Self-emp-not-inc,13.0,Widowed,Exec-managerial,Not-in-family,White,Female,4.0,United-States,>50K
398,52.0,Private,14.0,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,39.0,United-States,<=50K
399,53.0,Self-emp-not-inc,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,37.0,United-States,<=50K
451,53.0,State-gov,9.0,Widowed,Tech-support,Unmarried,White,Female,39.0,United-States,<=50K
472,63.0,?,9.0,Widowed,?,Unmarried,White,Female,22.0,United-States,<=50K
477,53.0,Private,10.0,Never-married,Adm-clerical,Not-in-family,White,Female,37.0,United-States,<=50K
479,55.0,Private,9.0,Widowed,Sales,Unmarried,White,Female,33.0,United-States,<=50K
480,55.0,Private,13.0,Divorced,Exec-managerial,Own-child,Black,Female,66.0,United-States,<=50K
483,67.0,Self-emp-inc,13.0,Widowed,Sales,Other-relative,White,Female,30.0,United-States,>50K
500,79.0,Private,9.0,Widowed,Other-service,Unmarried,White,Female,17.0,United-States,<=50K
512,61.0,Private,1.0,Widowed,Prof-specialty,Unmarried,White,Female,51.0,Mexico,<=50K
562,54.0,Local-gov,13.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,50.0,United-States,>50K
566,53.0,Private,12.0,Divorced,Other-service,Not-in-family,White,Female,38.0,Columbia,>50K
574,62.0,Local-gov,14.0,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,37.0,United-States,<=50K
603,73.0,?,9.0,Married-AF-spouse,?,Wife,Black,Female,29.0,United-States,>50K
615,80.0,?,9.0,Married-civ-spouse,?,Wife,White,Female,19.0,Puerto-Rico,<=50K
627,51.0,?,9.0,Separated,?,Not-in-family,White,Female,36.0,United-States,<=50K
629,55.0,Private,10.0,Separated,Sales,Unmarried,White,Female,31.0,United-States,<=50K
652,59.0,Private,9.0,Widowed,Other-service,Not-in-family,White,Female,29.0,United-States,<=50K
672,55.0,Private,5.0,Divorced,Other-service,Other-relative,White,Female,36.0,United-States,<=50K
705,59.0,Private,13.0,Married-civ-spouse,Prof-specialty,Wife,Black,Female,8.0,United-States,>50K
707,64.0,Local-gov,9.0,Divorced,Other-service,Unmarried,Black,Female,37.0,United-States,<=50K
725,50.0,Private,13.0,Married-civ-spouse,Exec-managerial,Wife,White,Female,54.0,United-States,>50K
813,70.0,Private,10.0,Widowed,Other-service,Unmarried,White,Female,35.0,United-States,<=50K
814,56.0,Private,9.0,Divorced,Other-service,Unmarried,Black,Female,26.0,United-States,<=50K
838,69.0,Private,5.0,Widowed,Sales,Not-in-family,White,Female,7.0,United-States,<=50K
848,51.0,Private,14.0,Divorced,Exec-managerial,Not-in-family,White,Female,39.0,United-States,>50K
851,52.0,?,10.0,Married-civ-spouse,?,Wife,White,Female,26.0,United-States,>50K
866,80.0,Private,2.0,Widowed,Other-service,Unmarried,White,Female,17.0,?,<=50K
891,61.0,Private,9.0,Married-civ-spouse,Craft-repair,Wife,White,Female,42.0,United-States,<=50K
909,55.0,Federal-gov,11.0,Divorced,Adm-clerical,Own-child,Black,Female,39.0,United-States,<=50K
945,55.0,Private,9.0,Divorced,Adm-clerical,Other-relative,White,Female,23.0,United-States,<=50K
960,56.0,?,4.0,Divorced,?,Not-in-family,White,Female,40.0,United-States,<=50K
973,50.0,Self-emp-inc,14.0,Divorced,Exec-managerial,Unmarried,White,Female,40.0,United-States,<=50K
993,61.0,Self-emp-inc,9.0,Widowed,Exec-managerial,Not-in-family,White,Female,62.0,United-States,<=50K
998,53.0,Self-emp-not-inc,15.0,Never-married,Prof-specialty,Not-in-family,White,Female,36.0,United-States,<=50K
1007,50.0,Private,9.0,Divorced,Other-service,Unmarried,Asian-Pac-Islander,Female,36.0,Japan,<=50K
1044,50.0,Private,14.0,Married-civ-spouse,Craft-repair,Wife,Asian-Pac-Islander,Female,62.0,South,>50K
1048,63.0,Self-emp-not-inc,9.0,Divorced,Exec-managerial,Not-in-family,White,Female,37.0,United-States,<=50K
1054,71.0,Private,4.0,Widowed,Other-service,Not-in-family,White,Female,35.0,Mexico,<=50K
1085,87.0,Self-emp-not-inc,14.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,11.0,United-States,>50K
1086,56.0,?,9.0,Divorced,?,Unmarried,Black,Female,40.0,United-States,<=50K
1102,55.0,Private,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,40.0,United-States,<=50K
1107,60.0,Private,9.0,Married-civ-spouse,Craft-repair,Wife,Black,Female,37.0,United-States,<=50K
1122,59.0,Private,4.0,Divorced,Other-service,Unmarried,White,Female,52.0,United-States,<=50K
1155,70.0,Private,9.0,Never-married,Exec-managerial,Not-in-family,White,Female,38.0,United-States,<=50K
1162,66.0,?,5.0,Widowed,?,Not-in-family,White,Female,59.0,Mexico,<=50K
1195,51.0,Private,6.0,Divorced,Other-service,Not-in-family,White,Female,35.0,United-States,<=50K
1196,58.0,Private,5.0,Widowed,Machine-op-inspct,Unmarried,White,Female,45.0,United-States,<=50K
1210,53.0,Private,13.0,Divorced,Sales,Not-in-family,Asian-Pac-Islander,Female,64.0,United-States,<=50K
1226,56.0,Private,10.0,Divorced,Adm-clerical,Unmarried,White,Female,39.0,United-States,<=50K
1256,53.0,Private,10.0,Divorced,Adm-clerical,Not-in-family,White,Female,43.0,United-States,<=50K
1303,64.0,Private,5.0,Never-married,Other-service,Not-in-family,White,Female,47.0,Mexico,<=50K
1307,63.0,Private,8.0,Widowed,Sales,Unmarried,Black,Female,54.0,United-States,<=50K
1314,52.0,Private,13.0,Married-civ-spouse,Prof-specialty,Wife,White,Female,36.0,United-States,>50K
1345,51.0,Private,10.0,Separated,Exec-managerial,Other-relative,White,Female,50.0,United-States,<=50K
1352,67.0,Local-gov,4.0,Widowed,Other-service,Not-in-family,White,Female,17.0,United-States,<=50K
1380,56.0,Self-emp-not-inc,10.0,Divorced,Prof-specialty,Unmarried,White,Female,58.0,United-States,>50K
1383,60.0,Self-emp-not-inc,9.0,Married-civ-spouse,Farming-fishing,Wife,White,Female,72.0,United-States,>50K
1394,53.0,Private,13.0,Never-married,Adm-clerical,Not-in-family,White,Female,39.0,United-States,<=50K
1396,52.0,Local-gov,14.0,Separated,Exec-managerial,Other-relative,White,Female,39.0,United-States,<=50K
1431,50.0,Private,9.0,Divorced,Adm-clerical,Not-in-family,Black,Female,19.0,United-States,<=50K
1442,61.0,Private,7.0,Divorced,Other-service,Not-in-family,White,Female,39.0,United-States,>50K
1449,58.0,Private,9.0,Divorced,Other-service,Unmarried,White,Female,34.0,United-States,<=50K
1464,59.0,Private,9.0,Divorced,Adm-clerical,Not-in-family,White,Female,36.0,United-States,<=50K
1478,59.0,Private,9.0,Never-married,Adm-clerical,Not-in-family,White,Female,37.0,United-States,<=50K
1486,74.0,?,6.0,Widowed,?,Other-relative,White,Female,29.0,Columbia,<=50K
1506,51.0,Self-emp-not-inc,15.0,Divorced,Prof-specialty,Unmarried,White,Female,18.0,United-States,>50K
1515,59.0,Private,9.0,Divorced,Sales,Not-in-family,White,Female,28.0,United-States,<=50K
1557,64.0,Private,4.0,Never-married,Adm-clerical,Own-child,White,Female,38.0,United-States,<=50K
1561,59.0,Private,10.0,Never-married,Other-service,Not-in-family,White,Female,37.0,United-States,<=50K
1565,57.0,Private,13.0,Never-married,Prof-specialty,Not-in-family,White,Female,38.0,United-States,<=50K
1571,63.0,Private,10.0,Never-married,Other-service,Not-in-family,White,Female,26.0,?,<=50K
