,age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
21,68,?,10,Married-civ-spouse,?,Wife,White,Female,40,United-States,<=50K
35,59,Private,7,Divorced,Other-service,Not-in-family,Black,Female,35,United-States,<=50K
42,67,?,3,Widowed,?,Unmarried,Black,Female,40,United-States,<=50K
58,67,?,9,Divorced,?,Not-in-family,White,Female,7,United-States,<=50K
60,62,Private,10,Divorced,Other-service,Not-in-family,White,Female,60,United-States,<=50K
64,52,Federal-gov,14,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,>50K
94,50,Private,3,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,35,Philippines,<=50K
108,82,?,11,Widowed,?,Not-in-family,White,Female,8,United-States,<=50K
114,50,Local-gov,14,Divorced,Prof-specialty,Not-in-family,Black,Female,30,?,<=50K
115,53,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
175,65,Private,13,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
195,67,Private,10,Widowed,Adm-clerical,Not-in-family,White,Female,25,United-States,<=50K
212,57,Local-gov,9,Divorced,Adm-clerical,Not-in-family,White,Female,16,United-States,<=50K
230,65,Private,10,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
231,50,Local-gov,13,Divorced,Prof-specialty,Unmarried,White,Female,50,United-States,<=50K
240,52,Without-pay,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,30,United-States,<=50K
264,62,Private,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
268,70,Private,10,Widowed,Sales,Not-in-family,White,Female,34,United-States,<=50K
284,70,Private,9,Divorced,Other-service,Not-in-family,White,Female,28,United-States,<=50K
286,51,Private,11,Separated,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K
294,56,Private,13,Never-married,Exec-managerial,Not-in-family,White,Female,55,United-States,>50K
327,55,Local-gov,14,Widowed,Prof-specialty,Unmarried,White,Female,45,United-States,<=50K
340,52,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,35,United-States,<=50K
383,53,State-gov,9,Married-civ-spouse,Other-service,Wife,Amer-Indian-Eskimo,Female,28,United-States,>50K
429,56,Federal-gov,10,Divorced,Adm-clerical,Not-in-family,Black,Female,40,United-States,<=50K
473,53,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
492,53,Private,9,Married-civ-spouse,Sales,Wife,White,Female,26,United-States,<=50K
495,50,Private,9,Separated,Adm-clerical,Other-relative,White,Female,40,United-States,<=50K
496,56,Private,4,Divorced,Machine-op-inspct,Not-in-family,White,Female,20,Yugoslavia,<=50K
508,52,Local-gov,9,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K
527,50,Private,10,Divorced,Tech-support,Not-in-family,White,Female,36,United-States,<=50K
533,62,Private,9,Divorced,Other-service,Not-in-family,White,Female,84,United-States,<=50K
543,67,Local-gov,13,Divorced,Adm-clerical,Unmarried,Black,Female,35,United-States,<=50K
550,59,?,9,Married-civ-spouse,?,Wife,White,Female,40,United-States,>50K
555,63,Private,9,Widowed,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
564,69,Private,9,Divorced,Other-service,Not-in-family,White,Female,32,United-States,<=50K
569,61,Federal-gov,14,Widowed,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K
591,56,Self-emp-not-inc,14,Divorced,Sales,Unmarried,White,Female,60,United-States,<=50K
624,54,Private,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,United-States,>50K
626,69,Private,10,Widowed,Adm-clerical,Not-in-family,White,Female,24,United-States,<=50K
636,51,Private,9,Never-married,Exec-managerial,Other-relative,White,Female,40,United-States,<=50K
639,64,Private,10,Widowed,Exec-managerial,Not-in-family,White,Female,10,United-States,<=50K
644,51,?,2,Separated,?,Unmarried,White,Female,40,Mexico,<=50K
