,age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
36,52,Local-gov,9,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K
43,58,Private,9,Divorced,Machine-op-inspct,Not-in-family,Black,Female,40,United-States,<=50K
45,59,Local-gov,10,Widowed,Other-service,Not-in-family,White,Female,40,Poland,<=50K
55,50,Private,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,<=50K
63,63,Private,10,Widowed,Sales,Not-in-family,White,Female,20,United-States,<=50K
64,53,Private,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,>50K
67,68,Private,9,Widowed,Exec-managerial,Not-in-family,White,Female,10,United-States,>50K
70,57,Private,9,Never-married,Adm-clerical,Other-relative,White,Female,40,United-States,<=50K
84,59,Local-gov,9,Separated,Protective-serv,Other-relative,Black,Female,40,United-States,<=50K
86,64,Private,3,Separated,Other-service,Other-relative,White,Female,20,Cuba,<=50K
87,61,Private,8,Married-civ-spouse,Other-service,Wife,White,Female,40,United-States,<=50K
145,55,Private,9,Divorced,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Female,45,United-States,<=50K
147,59,Private,9,Divorced,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
159,53,Private,9,Divorced,Other-service,Unmarried,White,Female,40,United-States,<=50K
167,52,Private,6,Divorced,Other-service,Other-relative,White,Female,25,United-States,<=50K
175,50,Private,9,Married-civ-spouse,Sales,Wife,White,Female,15,United-States,<=50K
186,67,Local-gov,4,Widowed,Other-service,Not-in-family,White,Female,20,United-States,<=50K
188,52,Federal-gov,11,Divorced,Farming-fishing,Not-in-family,White,Female,40,United-States,<=50K
199,51,Private,6,Divorced,Other-service,Unmarried,White,Female,25,United-States,<=50K
216,63,Private,3,Widowed,Other-service,Other-relative,Asian-Pac-Islander,Female,19,Philippines,<=50K
219,75,Private,1,Never-married,Priv-house-serv,Not-in-family,Asian-Pac-Islander,Female,48,Philippines,<=50K
220,52,Private,10,Divorced,Sales,Unmarried,White,Female,50,United-States,<=50K
230,51,State-gov,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,<=50K
236,55,Private,7,Widowed,Handlers-cleaners,Unmarried,White,Female,40,United-States,<=50K
246,51,Private,9,Divorced,Other-service,Other-relative,Black,Female,30,United-States,<=50K
343,53,Federal-gov,13,Divorced,Exec-managerial,Unmarried,Black,Female,50,United-States,>50K
434,60,Private,10,Widowed,Sales,Not-in-family,White,Female,15,United-States,<=50K
466,51,Private,13,Divorced,Sales,Not-in-family,White,Female,60,United-States,<=50K
486,52,Private,7,Widowed,Other-service,Unmarried,Black,Female,40,United-States,<=50K
498,54,Private,9,Widowed,Other-service,Not-in-family,White,Female,15,United-States,<=50K
517,63,Private,9,Never-married,Exec-managerial,Own-child,White,Female,40,United-States,<=50K
539,66,?,9,Widowed,?,Not-in-family,Other,Female,35,Puerto-Rico,<=50K
540,55,State-gov,9,Married-civ-spouse,Tech-support,Wife,White,Female,40,United-States,>50K
