,age,workclass,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
3,55,Federal-gov,13,Separated,Other-service,Unmarried,White,Female,72,?,<=50K
5,61,Private,9,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,40,Japan,<=50K
22,66,Private,1,Widowed,Priv-house-serv,Other-relative,White,Female,40,Guatemala,<=50K
27,62,Self-emp-not-inc,14,Divorced,Prof-specialty,Unmarried,White,Female,32,United-States,<=50K
42,51,Self-emp-not-inc,9,Separated,Other-service,Unmarried,White,Female,20,United-States,<=50K
64,51,Local-gov,9,Widowed,Other-service,Unmarried,White,Female,40,United-States,<=50K
75,60,Federal-gov,9,Never-married,Adm-clerical,Not-in-family,Black,Female,40,United-States,<=50K
93,76,Federal-gov,14,Widowed,Prof-specialty,Not-in-family,White,Female,15,United-States,<=50K
94,57,Local-gov,9,Divorced,Handlers-cleaners,Not-in-family,Black,Female,30,United-States,<=50K
95,58,?,10,Never-married,?,Not-in-family,White,Female,40,United-States,<=50K
130,68,Private,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
246,65,Private,9,Divorced,Sales,Unmarried,White,Female,25,?,<=50K
274,61,Private,9,Never-married,Machine-op-inspct,Not-in-family,Black,Female,40,United-States,<=50K
284,59,Private,9,Widowed,Priv-house-serv,Not-in-family,White,Female,40,United-States,<=50K
287,60,Federal-gov,10,Widowed,Exec-managerial,Not-in-family,White,Female,40,England,<=50K
308,61,Private,10,Widowed,Adm-clerical,Other-relative,White,Female,40,United-States,<=50K
336,68,?,9,Widowed,?,Not-in-family,White,Female,20,United-States,<=50K
373,55,Private,10,Divorced,Other-service,Not-in-family,White,Female,20,United-States,<=50K
374,51,Local-gov,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,United-States,<=50K
388,62,?,9,Married-civ-spouse,?,Wife,White,Female,40,Scotland,>50K
431,50,Private,7,Divorced,Other-service,Unmarried,White,Female,40,United-States,<=50K
443,50,Local-gov,9,Never-married,Other-service,Not-in-family,Black,Female,40,United-States,<=50K
445,51,Private,7,Widowed,Handlers-cleaners,Unmarried,Black,Female,40,United-States,<=50K
448,64,?,9,Widowed,?,Not-in-family,White,Female,20,United-States,<=50K
449,61,?,13,Never-married,?,Not-in-family,White,Female,45,United-States,<=50K
499,55,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,25,United-States,<=50K
572,61,?,4,Widowed,?,Not-in-family,Black,Female,40,United-States,<=50K
581,55,State-gov,11,Widowed,Prof-specialty,Unmarried,White,Female,40,United-States,<=50K
591,61,Local-gov,14,Divorced,Prof-specialty,Not-in-family,White,Female,70,United-States,<=50K
611,68,Private,10,Divorced,Sales,Not-in-family,White,Female,20,United-States,<=50K
622,52,Private,13,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
646,54,Self-emp-not-inc,14,Divorced,Prof-specialty,Not-in-family,White,Female,30,United-States,<=50K
663,50,Private,6,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
667,61,Self-emp-not-inc,9,Widowed,Adm-clerical,Unmarried,White,Female,20,United-States,<=50K
690,71,Private,3,Widowed,Priv-house-serv,Not-in-family,Asian-Pac-Islander,Female,75,United-States,<=50K
728,55,Private,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
736,61,Self-emp-not-inc,10,Widowed,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
744,55,Private,14,Never-married,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,40,Thailand,<=50K
745,55,Private,9,Married-civ-spouse,Other-service,Wife,Black,Female,35,United-States,<=50K
753,60,Private,4,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,United-States,<=50K
773,66,Local-gov,13,Widowed,Prof-specialty,Not-in-family,Black,Female,25,United-States,<=50K
824,53,Private,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,50,United-States,>50K
833,65,Private,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,40,United-States,<=50K
840,62,Private,11,Married-civ-spouse,Exec-managerial,Wife,White,Female,45,United-States,>50K
849,54,Self-emp-not-inc,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,35,United-States,>50K
852,66,Private,4,Widowed,Other-service,Not-in-family,White,Female,20,Germany,<=50K
863,59,?,6,Widowed,?,Unmarried,White,Female,40,United-States,<=50K
865,62,Private,9,Widowed,Sales,Not-in-family,White,Female,43,United-States,<=50K
875,54,Private,9,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,43,United-States,<=50K
879,62,?,6,Widowed,?,Not-in-family,White,Female,30,United-States,<=50K
921,62,Private,9,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
926,63,Private,2,Widowed,Machine-op-inspct,Unmarried,White,Female,44,Portugal,<=50K
945,65,Private,9,Widowed,Other-service,Unmarried,Black,Female,20,Jamaica,<=50K
974,50,Private,9,Widowed,Sales,Unmarried,White,Female,40,United-States,<=50K
982,61,?,9,Divorced,?,Not-in-family,White,Female,99,United-States,<=50K
1018,55,?,5,Never-married,?,Own-child,White,Female,45,United-States,<=50K
1023,67,Local-gov,16,Never-married,Prof-specialty,Not-in-family,White,Female,50,United-States,>50K
1029,62,Local-gov,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,40,United-States,>50K
1041,51,Private,7,Divorced,Other-service,Unmarried,Black,Female,30,United-States,<=50K
1090,70,Private,3,Widowed,Other-service,Other-relative,White,Female,40,?,<=50K
1160,58,Private,9,Never-married,Adm-clerical,Not-in-family,White,Female,40,United-States,<=50K
1203,61,Private,9,Divorced,Sales,Unmarried,White,Female,25,United-States,<=50K
1206,59,Private,4,Separated,Other-service,Own-child,Black,Female,38,United-States,<=50K
1277,53,Private,10,Divorced,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
1307,69,Private,9,Widowed,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
1311,52,Private,3,Married-civ-spouse,Sales,Wife,White,Female,15,El-Salvador,<=50K
1314,55,Self-emp-not-inc,9,Separated,Farming-fishing,Unmarried,White,Female,55,United-States,<=50K
1319,61,Private,9,Divorced,Adm-clerical,Unmarried,Black,Female,40,United-States,<=50K
1327,60,Local-gov,13,Widowed,Prof-specialty,Unmarried,White,Female,60,United-States,>50K
1344,69,Private,9,Separated,Transport-moving,Unmarried,Black,Female,40,United-States,<=50K
1346,71,?,10,Widowed,?,Not-in-family,White,Female,14,Canada,<=50K
1365,55,Private,9,Divorced,Sales,Unmarried,Black,Female,40,United-States,<=50K
1371,52,Private,4,Widowed,Other-service,Not-in-family,White,Female,40,United-States,<=50K
1377,54,Private,2,Separated,Priv-house-serv,Other-relative,White,Female,40,Mexico,<=50K
1383,55,Self-emp-not-inc,13,Widowed,Sales,Unmarried,White,Female,15,United-States,<=50K
1384,51,Private,13,Separated,Adm-clerical,Unmarried,White,Female,40,United-States,<=50K
1408,50,Private,13,Divorced,Exec-managerial,Unmarried,White,Female,40,United-States,>50K
1414,63,Private,9,Divorced,Exec-managerial,Not-in-family,White,Female,40,United-States,<=50K
1418,68,?,9,Married-civ-spouse,?,Wife,White,Female,8,United-States,<=50K
1422,59,Private,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,40,United-States,<=50K
1425,59,Private,10,Divorced,Prof-specialty,Not-in-family,White,Female,48,United-States,<=50K
1428,67,Private,9,Widowed,Other-service,Not-in-family,White,Female,24,United-States,<=50K
1551,54,Local-gov,14,Divorced,Prof-specialty,Not-in-family,White,Female,40,United-States,<=50K
1567,71,Private,14,Divorced,Prof-specialty,Not-in-family,White,Female,15,Germany,<=50K
1574,66,Private,10,Widowed,Sales,Unmarried,White,Female,50,United-States,>50K
1575,59,Federal-gov,14,Never-married,Prof-specialty,Not-in-family,White,Female,40,?,>50K
1585,57,?,4,Married-civ-spouse,?,Wife,White,Female,45,Puerto-Rico,<=50K
1595,52,State-gov,9,Separated,Other-service,Not-in-family,White,Female,35,United-States,<=50K
1602,59,Private,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,40,Italy,>50K
1606,54,Private,9,Never-married,Adm-clerical,Other-relative,White,Female,40,United-States,<=50K
